date,cases,hospitalizations,deaths
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-13,0,0,0
2020-03-14,2,0,0
2020-03-15,4,0,0
2020-03-16,6,0,0
2020-03-17,10,0,0
2020-03-18,12,0,0
2020-03-19,18,0,0
2020-03-20,28,0,0
2020-03-21,31,0,1
2020-03-22,40,4,1
2020-03-23,48,6,1
2020-03-24,58,6,2
2020-03-25,88,13,2
2020-03-26,133,19,2
2020-03-27,158,25,2
2020-03-28,219,31,2
2020-03-29,265,35,2
2020-03-30,290,38,2
2020-03-31,325,51,2
2020-04-01,356,51,2
2020-04-02,419,70,2
2020-04-03,476,78,2
2020-04-04,552,86,3
2020-04-05,605,87,4
2020-04-06,642,92,4
2020-04-07,689,101,6
2020-04-08,720,113,10
2020-04-09,759,117,12
2020-04-10,788,124,18
2020-04-11,836,130,19
2020-04-12,857,130,19
2020-04-13,876,134,21
2020-04-14,893,142,24
2020-04-15,904,146,26
2020-04-16,925,162,38
2020-04-17,947,176,43
2020-04-18,1009,178,47
2020-04-19,1035,180,50
2020-04-20,1042,180,55
2020-04-21,1059,188,67
2020-04-22,1088,196,74
2020-04-23,1149,204,69
2020-04-24,1177,208,71
2020-04-25,1198,211,73
2020-04-26,1211,214,73
2020-04-27,1224,213,79
2020-04-28,1235,222,87
2020-04-29,1273,228,86
2020-04-30,1289,236,94
2020-05-01,1319,235,99
2020-05-02,1333,237,102
2020-05-03,1345,238,102
2020-05-04,1365,240,102
2020-05-05,1375,244,109
2020-05-06,1394,247,111
2020-05-07,1439,254,117
2020-05-08,1455,259,119
2020-05-09,1486,273,120
2020-05-10,1503,273,122
2020-05-11,1511,274,123
2020-05-12,1526,280,127
2020-05-13,1545,285,139
2020-05-14,1551,283,139
2020-05-15,1582,290,141
2020-05-16,1593,292,143
2020-05-17,1603,292,143
2020-05-18,1641,294,143
2020-05-19,1658,304,144
2020-05-20,1687,310,144
2020-05-21,1718,313,144
2020-05-22,1739,314,146
2020-05-23,1753,317,150
2020-05-24,1777,318,150
2020-05-25,1805,319,150
2020-05-26,1816,319,150
2020-05-27,1828,324,151
2020-05-28,1851,331,151
2020-05-29,1870,336,151
2020-05-30,1897,340,151
2020-05-31,1911,340,151
2020-06-01,1919,340,151
2020-06-02,1928,344,152
2020-06-03,1952,345,152
2020-06-04,1965,347,165
2020-06-05,1973,349,168
2020-06-06,1989,350,168
2020-06-07,2003,350,168
2020-06-08,2008,351,168
2020-06-09,2027,351,169
2020-06-10,2034,352,172
2020-06-11,2055,354,173
2020-06-12,2065,355,173
2020-06-13,2076,357,173
2020-06-14,2079,357,173
2020-06-15,2086,357,173
2020-06-16,2113,357,174
2020-06-17,2113,358,177
2020-06-18,2122,361,177
2020-06-19,2138,361,177
2020-06-20,2158,362,178
2020-06-21,2175,364,178
2020-06-22,2220,365,178
2020-06-23,2239,370,179
2020-06-24,2284,372,184
2020-06-25,2321,378,184
2020-06-26,2382,379,186
2020-06-27,2472,381,186
2020-06-28,2568,382,186
2020-06-29,2651,386,186
2020-06-30,2760,393,186
2020-07-01,2870,397,187
2020-07-02,3103,401,187
2020-07-03,3280,406,187
2020-07-04,3430,408,187
2020-07-05,3557,412,187
2020-07-06,3775,416,188
2020-07-07,3979,423,194
2020-07-08,4209,431,196
2020-07-09,4367,443,196
2020-07-10,4547,450,197
2020-07-11,4762,456,198
2020-07-12,4962,464,198
2020-07-13,5033,470,198
2020-07-14,5364,477,199
2020-07-15,5610,478,204
2020-07-16,5750,490,205
2020-07-17,5990,507,206
2020-07-18,6125,507,207
2020-07-19,6263,508,208
2020-07-20,6435,512,208
2020-07-21,6574,520,209
2020-07-22,6670,536,217
2020-07-23,6817,551,219
2020-07-24,7015,573,221
2020-07-25,7181,577,222
2020-07-26,7294,581,222
2020-07-27,7474,583,222
2020-07-28,7593,603,229
2020-07-29,7718,613,234
2020-07-30,7850,636,235
2020-07-31,8094,669,239
2020-08-01,8160,681,240
2020-08-02,8242,685,242
2020-08-03,8310,686,242
2020-08-04,8442,692,243
2020-08-05,8512,701,248
2020-08-06,8612,713,251
2020-08-07,8709,721,257
2020-08-08,8796,730,258
2020-08-09,8857,734,259
2020-08-10,8932,735,259
2020-08-11,9008,737,260
2020-08-12,9078,738,273
2020-08-13,9192,755,278
2020-08-14,9282,766,283
2020-08-15,9359,777,284
2020-08-16,9433,798,288
2020-08-17,9504,870,290
2020-08-18,9549,887,291
2020-08-19,9576,911,297
2020-08-20,9676,911,298
2020-08-21,9756,915,304
2020-08-22,9817,922,306
2020-08-23,9903,925,306
2020-08-24,9932,926,306
2020-08-25,9990,933,309
2020-08-26,10004,938,317
